"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model4",12,580.108407895566,0,1,0.990362639312199,-276.301394959019,0.990362639312199,"TotalEnergy_mJ~Collection_RiverMile_m + Group_Assignment + Sex"
"model2",11,589.387544678921,9.27913678335494,0.00966186686988541,0.00956875197394281,-282.227105672794,0.999931391286142,"TotalEnergy_mJ~Collection_RiverMile_m + Group_Assignment"
"model3",4,599.263222009247,19.1548141136806,6.92763446667746e-05,6.86087035460884e-05,-295.425425437613,0.999999999989688,"TotalEnergy_mJ~Collection_RiverMile_m + Sex"
"model1",2,630.68442391903,50.5760160234638,1.04125634821206e-11,1.03122138521588e-11,-313.281605898909,1,"TotalEnergy_mJ~1"
