"Parameter","Estimate","Std_Error","t_value","p_value","CI_Lower","CI_Upper"
"(Intercept)",26.121335,0.327314698483097,79.8049556621087,1.1544596826558e-136,25.4752103165412,26.7674596834588
"Collection_LocationCanyon Creek",-0.268474999999999,0.462892885758855,-0.579993791781587,0.562686719068333,-1.18223329033149,0.645283290331492
"Collection_LocationChitina Airport",-1.04362526315789,0.658922094744901,-1.58383710529835,0.11508932387249,-2.34434848721152,0.257097960895741
"RunTimingGroupLate",-1.858405,0.462892885758855,-4.01476250159554,8.91120938812359e-05,-2.77216329033149,-0.944646709668509
"RunTimingGroupMiddle",-0.700645,0.462892885758855,-1.51362231210657,0.131978588625032,-1.61440329033149,0.213113290331492
"Year2020",0.0761899999999987,0.462892885758855,0.164595314259572,0.869458064737803,-0.837568290331494,0.989948290331491
"RunTimingGroupMiddle:Year2020",1.34702,0.654629396966193,2.05768333387198,0.0411473615415582,0.0547706330823503,2.63926936691765
"RunTimingGroupLate:Year2021",1.701085,0.654629396966193,2.59854660955266,0.0101841132507083,0.408835633082351,2.99333436691765
"RunTimingGroupMiddle:Year2021",1.053125,0.654629396966193,1.6087346594586,0.109529878453917,-0.23912436691765,2.34537436691765
