"","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","Processing_Date","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2.1","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments"
"71","GH-11-2019","GK11-2019","GH-11-19","GK11","8/17/2019","9/1/2019",63.06732669,-145.5138318,"GH",2.204,45.7,47.1,7.7,8.2,14.1,15.1,5.8,33.1,"M",0.068,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03,"2-C6","N","Y",5,"Y","Y",0.034,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,"only found 1 otolith","11/10/2019",205.7,"11/25/2019",41.8,"0.7968","0.2032","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/2019",2,0.3075,923.1981,21.7378,4.417306952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"72","GH-12-2019","GK12-2019","GH-12-19","GK12","8/17/2019","9/3/2019",63.06732669,-145.5138318,"GH",1.794,47.6,48.5,6.1,6.8,12.7,12.9,5.7,28.2,"M",0.03,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.574,"2-C9","N","Y",5,"Y","Y",0.018,0.5,0.4,0.4,0.4,0.5,0.6,0.5,0.4,"partial spawner","11/10/2019",212.5,"11/25/2019",37,"0.8259","0.1741","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/2019",4,0.3263,923.3249,17.7668,3.093513412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"73","GH-13-2019","GK13-2019","GH-13-19","GK13","8/17/2019","9/1/2019",63.06732669,-145.5138318,"GH",1.598,45.3,47.3,6.7,7.4,12.7,12.5,5.2,28.9,"M",0.032,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,"2-C3","N","Y",5,"Y","Y",0.012,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.4,"possibly a partial spawner, gonads seemed small","11/10/2019",168.4,"11/25/2019",32.6,"0.8064","0.1936","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/2019",2,0.4566,923.1981,16.9268,3.276803325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"74","GH-14-2019","GK14-2019","GH-14-19","GK14","8/18/2019","9/1/2019",63.06732669,-145.5138318,"GH",1.248,43.6,44.5,5.7,6.3,11,11.4,4.4,24,"M",0.028,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.158,"2-C5","N","Y",5,"Y","Y",0.014,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.5,"PARTIAL SPAWNER","11/10/2019",164.3,"11/25/2019",30.7,"0.8131","0.1869","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/2019",4,0.3501,923.3249,17.6081,3.290131893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"75","GH-15-2019","GK15-2019","GH-15-19","GK15","8/17/2019","9/3/2019",63.06732669,-145.5138318,"GH",2.27,49.6,49.3,7.6,8.1,13.8,13.2,5.5,31.1,"M",0.036,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.154,"2-D4","N","Y",5,"Y","Y",0.018,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.4,"","11/10/2019",157.8,"11/25/2019",29.3,"0.8143","0.1857","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/2019",2,0.3351,923.1981,18.783,3.487591255,4,0.2889,923.3249,20.2735,NA,4,0.3195,923.3249,20.5043,3.807198923,NA,NA,NA,NA,NA,""
"76","GH-16-2019","GK16-2019","GH-16-19","GK16","8/17/2019","9/3/2019",63.06732669,-145.5138318,"GH",0.738,37.9,39.4,3.4,3.5,7.9,7.4,3.7,18.1,"F",NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,"2-C8","Y","Y",5,"Y","N",NA,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.4,"POST SPAWNER, NO EGGS PRESENT","11/10/2019",71,"11/25/2019",15.4,"0.7831","0.2169","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/2019",4,0.4056,923.3249,17.4722,3.789744789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"77","GH-17-2019","GK17-2019","GH-17-19","GK17","8/17/2019","9/4/2019",63.06732669,-145.5138318,"GH",1.234,44.4,45,4.5,4.7,9.9,8.8,4.7,22.4,"F",NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.176,"2-E12","N","Y",5,"Y","N",NA,0.6,0.6,0.5,0.8,0.6,0.6,0.7,0.7,"POST SPAWNER, NO EGGS PRESENT","11/10/2019",141.2,"11/25/2019",26.5,"0.8123","0.1877","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/2019",2,0.4296,923.1981,19.2209,3.607321884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"78","GH-18-2019","GK18-2019","GH-18-19","GK18","8/17/2019","9/4/2019",63.06732669,-145.5138318,"GH",1.832,47,48.7,4,4.7,12.3,12.1,6.1,27.4,"F",NA,"N/A",54,5.1436,NA,NA,NA,NA,5.1,NA,NA,1.596,"2-F4","N","Y",5,"Y","N",NA,0.8,0.6,0.7,0.6,0.5,0.6,0.5,0.6,"SKEINS LOOSE AND BODY CAVITY FILLED WITH EGGS","11/10/2019",156.6,"11/25/2019",32.9,"0.7899","0.2101","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/2019",4,0.4917,923.3249,20.2046,4.244772286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"79","GH-19-2019","GK19-2019","GH-19-19","GK19","8/17/2019","9/3/2019",63.06732669,-145.5138318,"GH",1.792,46.5,47.4,4.2,4.7,10.8,11,5.9,26.9,"F",NA,"N/A",55,3.5626,NA,NA,NA,NA,4.5,NA,NA,1.618,"2-D6","N","Y",5,"Y","N",NA,0.7,0.5,0.5,0.5,0.7,0.5,0.7,0.5,"LIKELY A PARTIAL SPAWNER, SKEIN LOOSE WITH EGGS THROUGHOUT BODY CAVITY","11/10/2019",130.5,"11/25/2019",27,"0.7931","0.2069","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/2019",2,0.4485,923.1981,21.3085,4.408655172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"80","GH-20-2019","GK20-2019","GH-20-19","GK20","8/17/2019","9/3/2019",63.06732669,-145.5138318,"GH",1.164,44.7,45.3,4,4.2,9.4,9.5,4.1,22.9,"F",NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,"2-C12","N","Y",5,"Y","N",NA,0.8,0.6,0.7,0.6,0.8,0.5,0.6,0.6,"POST SPAWNER, NO EGGS PRESENT","11/10/2019",129.3,"11/25/2019",26.8,"0.7927","0.2073","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/2019",4,0.3769,923.3249,18.6226,3.859904718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
