"","Avg_Coef","CI_Lower","CI_Upper","SE"
"(Intercept)",4.66612771876971,3.13094851993812,6.2013069176013,0.779129606900045
"SpawnStatus1",-1.1790506549197,-1.51441761453561,-0.843683695303782,0.170204446948344
"SpawnStatus2",-0.981747202742966,-1.34498120944852,-0.618513196037409,0.184347447326159
"SpawnStatus3",-1.24108767188635,-2.12140416149924,-0.360771182273455,0.446775601067789
"Collection_LocationFish Creek Gulkana",1.09498158884115,-0.433435737027926,2.62339891471023,0.77569783606015
"Collection_LocationGulkana Hatchery",0.466685835742414,-1.05032990735027,1.9837015788351,0.769911335271421
"Collection_LocationKlutina Lake",1.57077034699445,-0.0361748467738552,3.17771554076275,0.815552152944623
"Collection_LocationKlutina River",0.0275783084630157,-2.08581261800732,2.14096923493335,1.07258188828446
"Collection_LocationLong Lake",1.72903161320292,0.209480094438157,3.24858313196769,0.771198301188049
"Collection_LocationMahlo",0.0243831541239598,-1.48705466820649,1.53582097645441,0.767080465780439
"Collection_LocationMentasta",0.410454255567088,-1.09715283944786,1.91806135058203,0.765136305855106
"Collection_LocationSt Anne",0.133206543799986,-1.37173683816602,1.63814992576599,0.763784431290983
"Collection_LocationTanada",1.10715557578381,-0.441696465505499,2.65600761707311,0.78606884652877
"Collection_LocationUpper Klutina",1.79509402113302,-0.301734931450667,3.89192297371671,1.06417647064731
"Collection_RegionMiddle",-2.19253816477375,-2.82929748055087,-1.55577884899663,0.3231980038242
"Collection_RegionMiddle-Upper",-1.7642467808683,-2.38285459915472,-1.14563896258188,0.313983484301141
"Collection_RegionUpper",-1.80579942842605,-2.44282209636491,-1.1687767604872,0.323337441112618
"SexM",-0.550959345817743,-0.750291387505797,-0.351627304129688,0.101164403569421
"Year2020",-0.346160305702386,-0.620984256782636,-0.0713363546221362,0.139477831828511
"Year2021",0.247592071720951,0.0124832806191751,0.482700862822726,0.119321712469314
"Collection_RegionMiddle:Year2020",-0.052645867490856,-0.932653435842177,0.827361700860465,0.446639357884937
"Collection_RegionMiddle-Upper:Year2020",0.178339890232378,-0.693577623115063,1.05025740357982,0.442533328457308
"Collection_RegionUpper:Year2020",-0.333873166135116,-1.27780318083417,0.610056848563939,0.47908257930481
"Collection_RegionMiddle:Year2021",1.35601668779976,0.582712117617615,2.12932125798191,0.392483279800331
"Collection_RegionMiddle-Upper:Year2021",1.73981085386611,0.925062782996748,2.55455892473546,0.4135175290513
"Collection_RegionUpper:Year2021",1.50515367238738,0.705114711425083,2.30519263334967,0.406052062116443
"Collection_RegionMiddle:SexM",-0.807920745563708,-1.46278700426179,-0.153054486865625,0.332400849698805
"Collection_RegionMiddle-Upper:SexM",-0.564524723266978,-1.24321896198996,0.114169515456008,0.344495595307825
"Collection_RegionUpper:SexM",-1.12870290979356,-1.81890999022797,-0.43849582935915,0.350339350909058
"SexM:Year2020",0.343865892507801,-0.318222636047866,1.00595442106347,0.336081451322028
"SexM:Year2021",0.181858206225601,-0.384747799907597,0.7484642123588,0.287613756553724
