"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model10",8,304.492242260879,0,1,0.885563197553593,-143.822591718675,0.885563197553593,"fineness_2~Collection_RiverMile_m + RunTimingGroup + Sex + Year"
"model6",7,309.901233930445,5.40899166956592,0.0669040460379931,0.059247760938678,-147.623131585105,0.944810958492271,"fineness_2~Collection_RiverMile_m + RunTimingGroup + Year"
"model9",8,311.303858999645,6.81161673876647,0.0331799875520808,0.029382975871409,-147.228400088058,0.97419393436368,"fineness_2~Collection_RiverMile_m + Sex + Year + Sex:Year"
"model7",6,311.711578179794,7.21933591891542,0.0270608306676645,0.0239640757345133,-149.611603043386,0.998158010098193,"fineness_2~Collection_RiverMile_m + Sex + Year"
"model4",5,316.842996997661,12.3507547367823,0.00208002083521012,0.00184198990180677,-153.248088094206,1,"fineness_2~Collection_RiverMile_m + Year"
"model5",6,395.112814686564,90.6205724256851,2.09890472057607e-20,1.85871277571368e-20,-191.31222129677,1,"fineness_2~Collection_RiverMile_m + RunTimingGroup + Sex"
"model2",5,397.498993534967,93.0067512740884,6.36561796852003e-21,5.6371570026072e-21,-193.576086362859,1,"fineness_2~Collection_RiverMile_m + RunTimingGroup"
"model8",8,397.779230047441,93.2869877865616,5.53334801273151e-21,4.90012935933134e-21,-190.466085611956,1,"fineness_2~Collection_RiverMile_m + RunTimingGroup + Sex + RunTimingGroup:Sex"
"model3",4,399.80378673581,95.311544474931,2.01076393174563e-21,1.7806585369221e-21,-195.786950839169,1,"fineness_2~Collection_RiverMile_m + Sex"
"model1",2,453.204601064316,148.712358803437,5.09942948142144e-33,4.51586707726663e-33,-224.568209623067,1,"fineness_2~1"
