"Parameter","Estimate","Std_Error","t_value","p_value","CI_Lower","CI_Upper"
"(Intercept)",1.36480595677889,1.55994403717124,0.874906999390693,0.382844571252213,-1.71429296528157,4.44390487883936
"Collection_LocationCanyon Creek",-0.263097479839885,0.27385096648939,-0.960732339975432,0.338035392010162,-0.803638804163135,0.277443844483364
"Collection_LocationChitina Airport",-0.0393945570855437,0.50889915926884,-0.0774113227896539,0.938386310280341,-1.04388626666227,0.965097152491186
"RunTimingGroupLate",-1.02501259211828,0.321137764780922,-3.19181580160008,0.00168105773947366,-1.65889106583772,-0.39113411839884
"RunTimingGroupMiddle",-0.758197162758701,0.273825445311743,-2.76890689210973,0.00624160839421185,-1.29868811205008,-0.217706213467319
"SexF",-1.13701647182435,1.54328867312358,-0.736749055199798,0.462278692566069,-4.18324016742562,1.90920722377692
"SexM",0.101574188950679,1.54243041631064,0.0658533363168733,0.947571072151831,-2.94295543457838,3.14610381247974
"Year2020",-0.52140914449079,0.321094237373531,-1.623850831942,0.106238882602,-1.15520170154272,0.112383412561138
