"unique_id","site","species","fluidigm_num","tray","run_by","scored_by","tissue","lod_applied","Arena1","arena2","ascv","Bafini_b","c_b_cys","ce_sha","Circo.virus","cov","ctv","de_sal","fa_mar","fl_psy","Hantavirus","hkg","hkg_r","ic_hof","ic_mul","IcD","ihnv","lo_sal","my_arc","my_ins","na_sal","ne_per","Nido2_a","pa_kab","pa_min","pa_pse","pa_ther","Picorna2_virus","pisck_sal","prv","pspv","Qin","reov","Rhabdo3_virus","rlo","Salmovirus","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","vhsv","vi_ang","vi_sal"
"2019-0046-118-EW21","EW","Sockeye","EW21",4010,"KK","KK","Gill",TRUE,0,0,0,NA,27782.43217,0,NA,0,0,0,0,78.25412881,NA,2.66e-07,2.66e-07,0,0,NA,0,0,0,0,0,0,NA,0,17.50033035,337.1771094,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-EW7","EW","Sockeye","EW7",4010,"KK","KK","Gill",TRUE,0,0,0,NA,862.0968492,0,NA,0,0,0,0,2530.796194,NA,5.91e-47,5.91e-47,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-GK1","GK","Sockeye","GK1",4010,"KK","KK","Gill",TRUE,0,0,0,NA,308024.108,0,NA,0,0,0,0,8370.844509,NA,1.99e-41,1.99e-41,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-GK10","GK","Sockeye","GK10",4010,"KK","KK","Gill",TRUE,0,0,0,NA,537645.5411,0,NA,0,0,0,0,1409.046446,NA,3.41e-41,3.41e-41,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,78946.66224,0,0,0,0,0,0
"2019-0046-118-GK11","GK","Sockeye","GK11",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1081400.749,0,NA,0,0,16.80916846,0,69160.88962,NA,3.2e-49,3.2e-49,0,92.29906126,NA,16.01319519,1613959.089,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-GK12","GK","Sockeye","GK12",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1888923.657,0,NA,0,0,0,0,873304.5819,NA,3.57e-39,3.57e-39,0,51.87569454,NA,766.1371179,0,0,0,0,0,NA,0,6.176247598,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-GK14","GK","Sockeye","GK14",4010,"KK","KK","Gill",TRUE,0,0,0,NA,2218996.181,0,NA,0,0,0,0,1701291.84,NA,1.06e-47,1.06e-47,0,140.2464604,NA,490.4981131,50905.56153,0,0,0,0,NA,0,0,169491.3995,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,2528.145322,0,0,0,0,0,0
"2019-0046-118-GK15","GK","Sockeye","GK15",4010,"KK","KK","Gill",TRUE,0,0,0,NA,5213162.994,0,NA,0,0,0,0,174226.6237,NA,1.57e-42,1.57e-42,0,0,NA,17745.68973,6757282.834,0,0,0,0,NA,0,0,342.7624345,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-GK16","GK","Sockeye","GK16",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1544896.291,0,NA,0,0,0,0,4436270.344,NA,9.5e-48,9.5e-48,0,0,NA,32613865.24,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,459.9337015,0,0,0,0,0,0
"2019-0046-118-GK17","GK","Sockeye","GK17",4010,"KK","KK","Gill",TRUE,0,0,0,NA,4252210.649,0,NA,0,0,0,0,311223.551,NA,1.12e-39,1.12e-39,0,0,NA,18298630.27,28958.7726,0,0,0,0,NA,0,0,1953.494606,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,3918.493847,0,0,0,0,0,0
