Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP#,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass-guts_Wt,Oto_Well_ID,Strontium_marked_Y/N,Scales_Y/N,Scales_num,Fish_Ground_Y/N,Gonad_Saved_Y/N,Gonad_Saved_wt,Fat_Meter_1%_L,Fat_Meter_1%_R,Fat_Meter_2%_L,Fat_Meter_2%_R,Fat_Meter_3%_L,Fat_Meter_3%_R,Fat_Meter_4%_L,Fat_Meter_4%_R,Dissect_Comments,SpawnStatus,Date_LabDryStart,Fish+BagWt_g,Date_LabDryFinal,DryFish+BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ/kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ/kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ/kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ/kg_4,EnergyPDry_4,BC_comments,Collection_RiverMile_m,Collection_Region
CC-29-2019,CC29-2019,CC-29-19,CC29,2019-06-19,Middle,Canyon Creek,7/21/19,61.40097,-144.51765,1.744,43.5,44.3,4.3,4.7,11.6,13.1,,29.7,F,0.17,N/A,73,4.5324,52,3.1023,54,3.5869,3.7,4.1,4.3,1.512,1-B9,N,Y,6,Y,Y,0.076,8.9,10.2,6.8,8,6.6,5.5,3.5,3.5,,,10/8/19,163.7,10/17/19,52.9,0.6768,0.3232,,11/5/19,2,0.4396,924.0889,26.6648,8.616786316,,,,,,,,,,,,,,,,,128939.07,
CC-30-2019,CC30-2019,CC-30-19,CC30,2019-06-19,Middle,Canyon Creek,8/8/19,61.40097,-144.51765,1.386,38.8,40.4,3.6,4.2,10.9,11.6,5.6,26.6,F,0.188,N/A,32,3.088,39,4.7198,45,5.0096,4.7,4.4,4.8,1.128,1-H3,N,Y,5,Y,Y,0.09,2.2,2.2,2.2,2.1,1.7,1.3,1.3,1.2,,,10/8/19,120.7,10/17/19,35.2,0.7084,0.2916,,11/10/19,4,0.3216,923.4282,25.4453,7.42066744,2,0.2813,924.0889,24.3311,7.095730903,4,0.2626,923.4282,24.5339,7.154873902,,,,,,,128939.07,
CC-31-2019,CC31-2019,CC-31-19,CC31,2019-06-19,Middle,Canyon Creek,8/7/19,61.40097,-144.51765,2.896,49.6,49.9,5.3,5.7,13.3,15.1,6.7,34.2,M,0.044,N/A,,,,,,,,,,2.728,1-G7,N,Y,5,Y,Y,0.022,9.5,8,8,9.4,5.5,5,2.1,2.6,,,10/17/19,184.8,10/23/19,61,0.6699,0.3301,,11/10/19,4,0.479,923.4282,26.5032,8.748350649,,,,,,,,,,,,,,,,,128939.07,
CC-32-2019,CC32-2019,CC-32-19,CC32,2019-06-19,Middle,Canyon Creek,8/8/19,61.40097,-144.51765,1.86,43.8,44.2,4.8,5.1,11.3,11.4,5.9,28.7,M,0.038,N/A,,,,,,,,,,1.74,1-H5,N,Y,5,Y,Y,0.018,5.3,6.2,5,5.8,2.4,3.2,1.9,1.4,,,10/17/19,121.1,10/23/19,39.6,0.673,0.327,,11/10/19,2,0.347,923.6164,26.701,8.731293146,,,,,,,,,,,,,,,,,128939.07,
CC-33-2019,CC33-2019,CC-33-19,CC33,2019-06-19,Middle,Canyon Creek,8/8/19,61.40097,-144.51765,2.472,47.7,48,5.2,5.7,13.3,13.2,6.2,32.3,M,0.062,N/A,,,,,,,,,,,1-H4,N,Y,5,Y,Y,0.028,6.5,6.1,5.9,6.3,3,4.3,2.2,2.2,,,10/17/19,201.5,10/23/19,66.8,0.6685,0.3315,,11/10/19,4,0.4173,923.4282,26.6568,8.837093002,,,,,,,,,,,,,,,,,128939.07,
CC-34-2019,CC34-2019,CC-34-19,CC34,2019-06-19,Middle,Canyon Creek,8/8/19,61.40097,-144.51765,2.294,48.6,49,4.9,5.4,12,14.1,6.2,30.9,M,0.036,N/A,,,,,,,,,,2.158,1-G11,N,Y,5,Y,Y,0.014,3.3,3.9,1.8,3.5,1.8,1.7,1.1,1.2,,,10/17/19,181.8,10/23/19,54.6,0.6997,0.3003,,11/10/19,2,0.3334,923.6164,24.8451,7.461729703,,,,,,,,,,,,,,,,,128939.07,
CC-35-2019,CC35-2019,CC-35-19,CC35,2019-06-19,Middle,Canyon Creek,8/6/19,61.40097,-144.51765,1.944,44.9,49.8,4,5.4,10.3,13.4,5.7,29.2,F,0.176,N/A,67,4.1803,49,3.7597,56,3.7773,4.4,4.7,4.1,1.672,1- F2,N,Y,5,Y,Y,0.084,7.1,6.7,7.1,6.2,4.6,2.2,2.2,1.4,small bite mark on right side size of quarter,,10/17/19,212.6,10/23/19,66.8,0.6858,0.3142,,11/10/19,4,0.3044,923.4282,27.572,8.663262465,,,,,,,,,,,,,,,,,128939.07,
CC-36-2019,CC36-2019,CC-36-19,CC36,2019-06-19,Middle,Canyon Creek,8/8/19,61.40097,-144.51765,1.672,40.9,41.4,3,3.5,11.8,11.5,6.6,28.7,F,0.174,N/A,31,3.2515,42,3.9067,47,4.1473,4.5,5,4.5,1.44,1-H8,N,Y,5,Y,Y,0.08,3.5,3.3,2.6,3.1,2,1.4,1,0.8,,,10/17/19,238.7,10/23/19,73.8,0.6908,0.3092,,11/10/19,2,0.3456,923.6164,24.1611,7.470000754,,,,,,,,,,,,,,,,,128939.07,
CC-37-2019,CC37-2019,CC-37-19,CC37,2019-06-19,Middle,Canyon Creek,8/6/19,61.40097,-144.51765,1.35,40.2,40.5,3.2,3.9,9.7,11.5,5.7,26,F,0.096,N/A,53,3.205,42,3.0111,67,3.4784,4.3,4.5,4.5,1.198,1-F10,N,Y,5,Y,Y,0.04,5.6,6,4.3,4.4,2.1,2.7,1.6,1.6,,,10/17/19,173.4,10/23/19,52.1,0.6995,0.3005,,11/13/19,4,0.208,923.4282,23.0976,6.939936332,,,,,,,,,,,,,,,,,128939.07,
CC-38-2019,CC38-2019,CC-38-19,CC38,2019-06-19,Middle,Canyon Creek,8/6/19,61.40097,-144.51765,2.376,46.3,48.4,5.9,6.9,11.8,14.9,5.9,32.7,M,0.11,N/A,,,,,,,,,,2.146,1-F3,N,Y,5,Y,Y,0.056,2.3,2.5,1.7,1.9,1.7,1.4,1.3,1.1,,,10/17/19,176,10/23/19,51.4,0.708,0.292,,11/13/19,2,0.2606,923.6164,23.9234,6.986720227,,,,,,,,,,,,,,,,,128939.07,
CC-39-2019,CC39-2019,CC-39-19,CC39,2019-06-19,Middle,Canyon Creek,8/8/19,61.40097,-144.51765,1.592,42.2,43.5,4.2,4.4,10.4,12.2,5.6,26.6,F,0.148,N/A,51,4.2178,35,6.532,47,3.0487,4.2,4.3,4.1,1.368,1-H1,N,Y,6,Y,Y,0.07,4.5,4.5,3.2,3.6,2.3,2.4,1.5,1.2,,,10/17/19,174.8,10/23/19,56.2,0.6785,0.3215,,11/13/19,4,0.2944,923.4282,24.3526,7.82961167,,,,,,,,,,,,,,,,,128939.07,
