Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP#,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass-guts_Wt,Oto_Well_ID,Strontium_marked_Y/N,Scales_Y/N,Scales_num,Fish_Ground_Y/N,Gonad_Saved_Y/N,Gonad_Saved_wt,Fat_Meter_1%_L,Fat_Meter_1%_R,Fat_Meter_2%_L,Fat_Meter_2%_R,Fat_Meter_3%_L,Fat_Meter_3%_R,Fat_Meter_4%_L,Fat_Meter_4%_R,Dissect_Comments,SpawnStatus,Date_LabDryStart,Fish+BagWt_g,Date_LabDryFinal,DryFish+BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ/kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ/kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ/kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ/kg_4,EnergyPDry_4,BC_comments,Collection_RiverMile_m,Elevation_m
MA-3-2020,MA-20-3,MA-3-20,MA-20-3,2020-08-10,,Mahlo,9/26/20,61.73588,-145.7294181,1.186,42.6,,4.3,,10,,3.8,23,F,,Fin clip 44,,,,,,,5.8,,,1.1,2-D8,N,Y,5,Y,N,,0.4,0.4,0.5,0.5,0.4,0.4,0.3,0.8,,0,1/5/21,128,1/9/21,24.5,0.8086,0.1914,,2/18/21,4,0.4206,923.3249,19.4928,3.73104375,,,,,,,,,,,,,,,,,306710.2079,537
MA-4-2020,MA-20-4,MA-4-20,MA-20-4,2020-08-10,,Mahlo,9/29/20,61.73588,-145.7294181,1.682,43.5,,4.8,,11.9,,4.5,27,F,0.034,Fin clip 20 (2),10,1.2747,,,,,6,,,1.514,2-F8,N,Y,5,Y,Y,0.034,0.5,0.4,0.7,0.6,0.4,0.5,0.6,0.5,,0,1/5/20,102.5,1/9/21,21.8,0.7873,0.2127,,2/18/21,2,0.4142,955.4635,22.2347,4.728941073,,,,,,,,,,,,,,,,,306710.2079,537
MA-5-2020,MA-20-5,MA-5-20,MA-20-5,2020-08-10,,Mahlo,9/26/20,61.73588,-145.7294181,1.132,42.4,,4.2,,10.6,,3.5,,F,6,"Fin clip 43, post-spawn",10,0.8801,,,,,5.5,,,1.042,"2-D7, one missing",N,Y,7,Y,N,,0.5,0.4,0.4,0.4,0.4,0.4,1.1,0.5,,0,1/5/21,144.9,1/9/21,27.9,0.8075,0.1925,,2/18/21,4,0.3775,923.3249,17.1082,3.294125466,2,0.2947,955.4635,20.0857,3.867432919,,,,,,,,,,,,306710.2079,537
MA-6-2020,MA-20-6,MA-6-20,MA-20-6,2020-08-10,,Mahlo,9/26/20,61.73588,-145.7294181,2.112,44.8,,7.7,,14.6,,4.6,34,M,0.038,fin well id:40,,,,,,,,,,1.896,2-D4,N,Y,6,Y,Y,0.018,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.5,,0,1/5/21,94.3,1/9/21,18.3,0.8059,0.1941,,2/18/21,4,0.4246,923.3249,19.3812,3.761144857,,,,,,,,,,,,,,,,,306710.2079,537
MA-7-2020,MA-20-7,MA-7-20,MA-20-7,2020-08-10,,Mahlo,9/29/20,61.73588,-145.7294181,1.406,43.2,,5.3,,11,,4,25.7,F,0.004,Fin clip 29 (2),,,,,,,6.4,,,1.342,2-G5,NO READ,Y,4,Y,Y,0.004,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.6,,0,1/5/21,116.5,1/9/21,23.4,0.7991,0.2009,,2/18/21,2,0.3061,955.4635,20.6622,4.150175794,,,,,,,,,,,,,,,,,306710.2079,537
MA-8-2020,MA-20-8,MA-8-20,MA-20-8,2020-08-10,,Mahlo,9/24/20,61.73588,-145.7294181,2.362,45.6,,8.6,,15.6,,4.9,35.8,M,0.036,2-C2,,,,,,,,,,2.162,2-B6,N,Y,5,Y,Y,0.02,0.5,0.4,0.4,0.4,0.6,0.5,0.4,0.5,,0,1/5/21,142,1/9/21,31.6,0.7775,0.2225,,2/18/21,4,0.3808,923.3249,17.703,3.939540845,,,,,,,,,,,,,,,,,306710.2079,537
MA-9-2020,MA-20-9,MA-9-20,MA-20-9,2020-08-10,,Mahlo,9/29/20,61.73588,-145.7294181,1.748,44.5,,4.5,,13.4,,4.2,29.6,F,0.196,Fin clip 24(2),10,1.0853,,,,,5.7,,,2.578,2-F12,N,Y,5,Y,Y,0.062,0.4,0.3,0.7,0.5,0.4,0.4,0.5,0.4,,0,1/5/21,137.1,1/9/21,26,0.8104,0.1896,,2/18/21,2,0.4272,955.4635,20.9315,3.969504012,,,,,,,,,,,,,,,,,306710.2079,537
MA-10-2020,MA-20-10,MA-10-20,MA-20-10,2020-08-10,,Mahlo,9/24/20,61.73588,-145.7294181,2.472,49.4,,9.2,,15.8,,5,34.3,M,0.008,2-D2,,,,,,,,,,2.264,2-C2 one missing oto,N,Y,,Y,Y,0.002,0.3,0.4,0.3,0.4,0.4,0.4,0.6,0.4,,0,1/5/21,138.8,1/9/21,25.4,0.817,0.183,,2/18/21,4,0.4258,923.3249,18.8246,3.44484755,,,,,,,,,,,,,,,,,306710.2079,537
SA-1-2020,SA-20-1,SA-1-20,SA-20-1,2020-08-11,,St Anne,9/24/20,61.73588,-145.7294181,1.95,45,,7.6,,14.8,,4.2,32.7,,0.012,2-C4,,,,,,,,,,1.804,2-B8,N,Y,,Y,Y,0.008,,,,,,,,,,0,1/23/21,125.8,1/28/21,24.3,0.8068,0.1932,,2/23/21,2,0.3022,955.4635,20.365,3.933779809,,,,,,,,,,,,,,,,,319020.5225,538
SA-2-2020,SA-20-2,SA-2-20,SA-20-2,2020-08-11,,St Anne,9/24/20,61.73953006,-145.9685194,1.926,44.9,,7.8,,15.3,,4.5,,M,0.016,2-D4,,,,,,,,,,1.798,2-C4,N,,,Y,Y,0.006,0.3,0.6,0.5,0.4,0.5,0.4,0.7,0.6,,0,1/23/20,85.5,1/28/21,15.2,0.8222,0.1778,,2/23/21,4,0.3158,923.3249,19.5469,3.475004444,,,,,,,,,,,,,,,,,319020.5225,538
