Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP#,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass-guts_Wt,Oto_Well_ID,Strontium_marked_Y/N,Scales_Y/N,Scales_num,Fish_Ground_Y/N,Gonad_Saved_Y/N,Gonad_Saved_wt,Fat_Meter_1%_L,Fat_Meter_1%_R,Fat_Meter_2%_L,Fat_Meter_2%_R,Fat_Meter_3%_L,Fat_Meter_3%_R,Fat_Meter_4%_L,Fat_Meter_4%_R,Dissect_Comments,Date_LabDryStart,Fish+BagWt_g,Date_LabDryFinal,DryFish+BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ/kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ/kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ/kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ/kg_4,EnergyPDry_4,BC_comments
BC-11-2021,BC-11-2021,BC-11-21,BC-L-11,6/2/2021 (BC),Early,Baird Canyon,6/11/21,60.73831,-144.5687,1.852,42.7,,3.8,,12.5,,6.5,29,M,0.072,1-A8,,,,,,,,,,1.678,1-A8,N,Y,,Y,Y,0.038,7.6,8.4,6.8,7.8,2.8,4.2,2,1.8,,9/24/21,100.8,9/29/21,29.6,0.7063,0.2937,,10/1/21,2,0.3795,955.4635,26.3579,7.740018254,,,,,,,,,,,,,,,,
BC-12-2021,BC-12-2021,BC-12-21,BC-L-12,6/2/2021 (BC),Early,Baird Canyon,6/23/21,60.73831,-144.5687,2.106,45.3,,3.5,,12.5,,7,30.5,F,0.148,1-B6,10,0.3742,,,,,4.5,,,1.852,1-B2,N,Y,5,Y,Y,0.058,15.5,12.4,12,9.9,5.5,5.5,3.9,2.6,,9/24/21,97,9/29/21,34.1,0.6485,0.3515,,10/1/21,4,0.4261,955.4635,27.6429,9.717761753,,,,,,,,,,,,,,,,
BC-13-2021,BC-13-2021,BC-13-21,BC-L-13,6/2/2021 (BC),Early,Baird Canyon,6/23/21,60.73831,-144.5687,1.92,43.8,,4.5,,11.9,,6.3,28.6,F,0.176,1-C2,10,0.5919,,,,,6,,,1.654,1-B6,N,Y,5,Y,Y,0.094,5.4,4.7,4.5,2.9,1.5,2.6,1.3,1.6,,9/26/21,81.8,9/30/21,28.3,0.654,0.346,,10/1/21,2,0.2672,955.4635,26.5696,9.192172127,,,,,,,,,,,,,,,,
BC-14-2021,BC-14-2021,BC-14-21,BC-L-14,6/2/2021 (BC),Early,Baird Canyon,6/23/21,60.73831,-144.5687,1.206,38.8,,2.5,,10.5,,6,25,F,0.092,1-B4,10,0.4723,,,,,5,,,1.052,1-A12,N,Y,5,Y,Y,0.036,10.7,8.2,7.9,8,4.8,2.5,2,2.3,,9/26/21,88.8,9/30/21,28.6,0.6779,0.3221,,10/1/21,4,0.2772,923.3249,25.4265,8.189165541,,,,,,,,,,,,,,,,
BC-15-2021,BC-15-2021,BC-15-21,BC-L-15,6/2/2021 (BC),Early,Baird Canyon,6/11/21,60.73831,-144.5687,2.594,47.5,,4.4,,12.9,,7.4,33,M,0.058,1-A2,,,,,,,,,,2.432,1-A2,N,Y,15,Y,Y,0.03,10.8,11.7,13.4,11.9,7.2,8.8,1.6,3.9,,9/26/21,142.4,10/1/21,50.5,0.6454,0.3546,,10/5/21,2,0.4605,955.4635,26.8631,9.526590941,,,,,,,,,,,,,,,,
BC-16-2021,BC-16-2021,BC-16-21,BC-L-16,6/2/2021 (BC),Early,Baird Canyon,6/11/21,60.73831,-144.5687,1.898,43.7,,4.3,,11.5,,6.6,29.2,M,0.038,1-B1,,,,,,,,,,1.756,1-A9,N,Y,5,Y,Y,0.016,9.5,7.1,9.3,7.4,5,3.1,3,1.8,,9/26/21,107.4,9/30/21,36.5,0.6601,0.3399,,10/1/21,2,0.3388,923.3249,24.3757,8.284106611,,,,,,,,,,,,,,,,
BC-17-2021,BC-17-2021,BC-17-21,BC-L-17,6/2/2021 (BC),Early,Baird Canyon,6/23/21,60.73831,-144.5687,2.114,46.8,,3.8,,11.7,,6.7,29.8,F,0.124,1-B5,10,0.2936,,,,,4,,,1.898,1-B1,N,Y,5,Y,Y,0.054,16.5,11.7,10.5,8.5,4.1,4.7,3,3.8,,9/26/21,136.2,10/1/21,47.7,0.6498,0.3502,,10/5/21,4,0.2614,923.3249,26.1097,9.144146035,,,,,,,,,,,,,,,,
BC-18-2021,BC-18-2021,BC-18-21,BC-L-18,6/2/2021 (BC),Early,Baird Canyon,6/11/21,60.73831,-144.5687,2.974,50.2,,5.7,,14.1,,7,35,M,0.108,1-A6,,,,,,,,,,2.76,1-A6,N,Y,,Y,Y,0.052,7,7.3,5.7,4.5,4.2,3.4,1.7,1.8,,9/26/21,80.9,9/30/21,27.1,0.665,0.335,,10/4/21,2,0.3335,955.4635,24.9941,8.372560074,4,0.3421,923.3249,25.7522,8.626509518,,,,,,,,,,,
BC-19-2021,BC-19-2021,BC-19-21,BC-L-19,6/2/2021 (BC),Early,Baird Canyon,6/11/21,60.73831,-144.5687,1.792,43.2,,4.1,,11.6,,6.4,29,M,0.07,1-A5,,,,,,,,,,1.652,1-A5,N,Y,5,Y,Y,0.032,6.6,6.5,7.9,9.5,2.4,4.2,1.7,2,,10/4/21,107.9,10/7/21,33.4,0.6905,0.3095,,10/8/21,4,0.4112,923.3249,26.3708,8.162972382,,,,,,,,,,,,,,,,
BC-20-2021,BC-20-2021,BC-20-21,BC-L-20,6/2/2021 (BC),Early,Baird Canyon,6/11/21,60.73831,-144.5687,3.154,50.5,,4.7,,15.1,,7.7,37.2,M,0.074,1-A7,,,,,,,,,,2.932,1-A7,N,Y,5,Y,Y,0.034,10.3,9.9,14.1,11.6,9.6,7.6,6.9,4.7,,9/27/21,145,10/4/21,48,0.669,0.331,,10/5/21,2,0.2546,955.4635,27.0064,8.940049655,,,,,,,,,,,,,,,,
