"","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","RunTimingGroup","Collection_Location","Processing_Date","Col_Location_Lat","Col_Location_Long","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","SpawnStatus","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_1","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments","Collection_RiverMile_m","Elevation_m","Year","EnergyPDry_1_mJ_g","Fish_Wt_g","Carcass.guts_Wt_g","TotalEnergy_g","TotalEnergy_carcass_g"
"11","CC-11-2019","CC11-2019","CC-11-19","CC11",2019-06-07,"Early","Canyon Creek","7/20/19",61.40097,-144.51765,2.246,47.6,47.8,5,5.5,12.3,14.6,NA,31.6,"F",0.11,"N/A",50,2.437,86,4.3318,107,4.4964,3,3.5,3.2,2.054,"NA lost","N","Y",NA,"Y","Y",0.046,12,"8.5",12.1,9,6.4,5.8,2.8,2,"",NA,"10/2/19",167.5,"10/7/19",57,0.6597,0.3403,NA,"10/19/19",2,0.3781,924.0889,26.7957,9.118536716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,0.009118536716,2246,2054,20.480233464136,18.729474414664
"12","CC-12-2019","CC12-2019","CC-12-19","CC12",2019-06-02,"Early","Canyon Creek","7/20/19",61.40097,-144.51765,1.552,42.4,43.4,4.3,4.6,11.4,14.4,NA,28.9,"M",0.16,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.332,"1-A7","N","Y",6,"Y","",0.076,6.6,"8.5",8,9.9,5.9,5.7,1.8,1.8,"",NA,"10/2/19",133.4,"10/7/19",43.3,0.6754,0.3246,NA,"10/19/19",4,0.4179,923.5644,26.3229,8.54408973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,0.00854408973,1552,1332,13.26042726096,11.38072752036
"13","CC-13-2019","CC13-2019","CC-13-19","CC13",2019-06-02,"Early","Canyon Creek","7/20/19",61.40097,-144.51765,2.728,47.8,49.3,6.7,7.3,14.2,15.5,NA,35.6,"M",0.108,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.518,"1-B2","N","Y",5,"Y","Y",0.058,4.8,"4.2",5.4,4,3.4,2.7,1.2,1.3,"",NA,"10/2/19",242.3,"10/7/19",78.4,0.6764,0.3236,NA,"10/19/19",2,0.3473,924.0889,26.804,8.67285844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,0.00867285844,2728,2518,23.65955782432,21.83825755192
"14","CC-14-2019","CC14-2019","CC-14-19","CC14",2019-06-02,"Early","Canyon Creek","7/20/19",61.40097,-144.51765,1.542,42.2,42.7,4.1,4.4,11.1,12.5,NA,28.3,"F",0.202,"N/A",71,6.7367,39,4.2683,31,3.407,4.6,4.2,4.9,1.264,"1-A8","N","Y",6,"Y","",0.118,7.8,"5",5.8,4,4.3,3.8,2.1,1.4,"",NA,"10/2/19",154.9,"10/7/19",48.8,0.685,0.315,NA,"10/19/19",4,0.3075,923.5644,25.9787,8.184380633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,0.008184380633,1542,1264,12.620314936086,10.345057120112
"15","CC-15-2019","CC15-2019","CC-15-19","CC15",2019-06-02,"Early","Canyon Creek","7/20/19",61.40097,-144.51765,2.532,49.1,49.8,4.8,5.2,13.5,15.9,NA,33.1,"F",0.2,"N/A",81,5.1904,74,4.5571,46,3.8156,4.3,4.3,4.1,2.224,"1-A12","N","Y",5,"Y","Y",0.104,6.5,"6.2",5.1,6.3,4.8,4.7,2.7,1.7,"",NA,"10/2/19",257.6,"10/7/19",82.9,0.6782,0.3218,NA,"10/19/19",2,0.3005,924.0889,26.0929,8.397132803,4,0.3661,923.5644,25.4357,8.185634821,2,0.4875,924.0889,26.8773,8.649565877,4,0.3845,923.4282,25.9734,8.358675699,NA,128939.07,NA,2019,0.008397132803,2532,2224,21.261540257196,18.675223353872
"16","CC-16-2019","CC16-2019","CC-16-19","CC16",2019-06-02,"Early","Canyon Creek","7/20/19",61.40097,-144.51765,2.01,45.3,45.5,4.7,5.3,12.7,14.7,NA,31.3,"F",0.178,"N/A",40,2.4553,39,2.4729,48,2.7325,4,3.9,4,1.748,"1-A10","N","Y",NA,"Y","Y",0.076,10.3,"14",6.1,9.2,5.6,6.1,1.8,2.6,"",NA,"10/2/19",175.2,"10/7/19",60.5,0.6547,0.3453,NA,"10/19/19",2,0.3666,924.0889,26.7736,9.245449772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,0.009245449772,2010,1748,18.58335404172,16.161046201456
"17","CC-17-2019","CC17-2019","CC-17-19","CC17",2019-06-02,"Early","Canyon Creek","7/20/19",61.40097,-144.51765,1.708,43.7,44.8,5,5.6,11.8,12.9,NA,28,"M",0.108,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.558,"1-A6","N","Y",5,"Y","Y",0.58,3.4,"4.1",3,3,1.7,2.2,0.9,1.2,"",NA,"10/2/19",196.6,"10/7/19",58,0.705,0.295,NA,"10/19/19",4,0.314,923.4282,23.8702,7.042073245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,0.007042073245,1708,1558,12.02786110246,10.97155011571
"18","CC-18-2019","CC18-2019","CC-18-19","CC18",2019-06-02,"Early","Canyon Creek","7/20/19",61.40097,-144.51765,2.306,46.7,47.4,5.7,6.3,13.6,15.2,NA,32.6,"M",0.048,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.194,"1-B1","N","Y",5,"Y","Y",0.28,5.8,"6.2",6.5,5.9,5.4,4.7,2,1.5,"",NA,"10/2/19",160.1,"10/7/19",51.8,0.6765,0.3235,NA,"10/19/19",2,0.4571,924.0889,25.6129,8.286997002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,0.008286997002,2306,2194,19.109815086612,18.181671422388
"19","CC-19-2019","CC19-2019","CC-19-19","CC19",2019-06-02,"Early","Canyon Creek","8/6/19",61.40097,-144.51765,1.688,42.7,43,4.6,5.2,11.2,12.7,5.8,29.6,"M",0.056,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.536,"1-F5","N","Y",5,"Y","Y",0.028,3.7,"4.5",2.7,4.1,2.1,2.2,1.2,1.4,"",NA,"10/2/19",156.8,"10/7/19",50.4,0.6786,0.3214,NA,"10/19/19",4,0.4135,923.4282,25.243,8.113821429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,0.008113821429,1688,1536,13.696130572152,12.462829714944
"20","CC-20-2019","CC20-2019","CC-20-19","CC20",2019-06-02,"Early","Canyon Creek","7/21/19",61.40097,-144.51765,2.55,49.7,50.2,6.8,7,13.2,14.7,NA,32.4,"M",0.05,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.404,"1-B4","N","Y",5,"Y","Y",0.026,8.9,"7.9",9.4,8.2,6.2,5.6,2.6,2.3,"",NA,"10/2/19",136,"10/7/19",46.8,0.6559,0.3441,NA,"10/19/19",2,0.3843,924.0889,26.8471,9.238560882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,0.009238560882,2550,2404,23.5583302491,22.209500360328
"21","CC-21-2019","CC21-2019","CC-21-19","CC21",2019-06-19,"Middle","Canyon Creek","8/8/19",61.40097,-144.51765,1.156,37.8,38.8,3.3,3.7,6,11.3,4.9,24.1,"F",0.144,"N/A",48,3.4487,61,4.7269,44,3.3102,4.2,4.5,4.4,0.956,"1-H2","N","Y",5,"Y","Y",0.076,2.3,"3.4",1.9,2.5,1.7,1.6,1,1,"",NA,"10/8/19",106.9,"10/17/19",33.1,0.6904,0.3096,NA,"10/19/19",4,0.2623,923.4282,23.8698,7.390929654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,0.007390929654,1156,956,8.543914680024,7.065728749224
"22","CC-22-2019","CC22-2019","CC-22-19","CC22",2019-06-19,"Middle","Canyon Creek","7/21/19",61.40097,-144.51765,1.968,45.3,46.5,5,5.5,11.8,13.7,NA,29.9,"M",0.086,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.804,"1-B5","N","Y",5,"Y","Y",0.048,4.4,"4.2",4.2,3,2.5,2.1,1.2,0.9,"no collection location data with carcass",NA,"10/8/19",210.4,"10/17/19",62,0.7053,0.2947,NA,"10/29/19",2,0.3645,924.0889,25.2043,7.427122624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,0.007427122624,1968,1804,14.616577324032,13.398529213696
