"","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","RunTimingGroup","Collection_Location","Processing_Date","Col_Location_Lat","Col_Location_Long","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","SpawnStatus","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_1","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments","Collection_RiverMile_m","Elevation_m","Year","Group_Assignment","assign_likelihood","Fish_Leng_1_mm","Fish_Ht_mm","Fish_Grth_mm","bodysize_pc","bodysize_pc_g_mm"
"1","BC-1-2020","BC-20-1","BC-1-20","BC-20-1","2020-06-01","Early","Baird Canyon","7/8/20",60.73831,-144.5687,1.608,40.3,NA,3.8,NA,11.3,NA,6.2,29.1,"F",0.086,"1-C2",10,0.4423,10,0.2676,NA,NA,4,3.8,NA,1.364,"1-B6","N","Y",7,"Y","Y",0.044,12.1,"8.3",11.6,11.9,8.6,12.4,3.6,5.5,"",NA,"10/6/20",55.5,"10/11/20",22.2,0.6,0.4,NA,"10/24/20",4,0.6198,923.3249,27.0087,10.80348,4,0.4556,923.3249,26.2067,10.48268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,"insufficient genotypes",0,403,113,291,-1.04832402190023,-1.04832402190024
"2","BC-2-2020","BC-20-2","BC-2-20","BC-20-2","2020-06-01","Early","Baird Canyon","7/8/20",60.73831,-144.5687,1.356,37.8,NA,3.9,NA,10.8,NA,5.3,27.8,"M",0.064,"1-C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.164,"1-B5","N","Y",6,"Y","Y",0.034,7.5,"8.7",6.2,8.4,9.7,3.9,3.1,1.8,"",NA,"10/6/20",50.6,"10/11/20",18.8,0.6285,0.3715,NA,"10/24/20",4,0.4134,923.3249,25.3342,9.412706719,4,0.3589,923.3249,24.9944,9.286456917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,"insufficient genotypes",0,378,108,278,-1.85741022418538,-1.85741022418539
"3","BC-3-2020","BC-20-3","BC-3-20","BC-20-3","2020-06-01","Early","Baird Canyon","7/7/20",60.73831,-144.5687,1.888,43.5,NA,4.8,NA,11.3,NA,6.4,29.5,"M",0.054,"1-A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.662,"1-A7 (1 oto)","N","Y",7,"Y","Y",0.026,10,"9.5",8.8,9.1,6.1,6.2,1.8,2,"",NA,"10/6/20",42.3,"10/11/20",16.5,0.6099,0.3901,NA,"10/24/20",4,0.3834,923.3249,27.1322,10.58348227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,"insufficient genotypes",0,435,113,295,-0.52356013110564,-0.523560131105647
"4","BC-4-2020","BC-20-4","BC-4-20","BC-20-4","2020-06-01","Early","Baird Canyon","7/8/20",60.73831,-144.5687,2.142,44.4,NA,3.8,NA,12.8,NA,6.2,30.57211,"F",0.184,"1-B4",10,0.5983,10,0.5543,10,0.6202,4.9,4.9,5,1.738,"1-A12","N","Y",7,"Y","Y",0.102,10.3,"8",8.7,9.7,8.2,6.1,2.6,1.9,"",NA,"10/6/20",58.1,"10/11/20",20.2,0.6523,0.3477,NA,"10/24/20",4,0.4073,923.3249,25.8517,8.988026506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,"Bremner",0.56,444,128,305.7211,0.443535885510491,0.443535885510483
"5","BC-5-2020","BC-20-5","BC-5-20","BC-20-5","2020-06-01","Early","Baird Canyon","7/8/20",60.73831,-144.5687,2.942,48.1,NA,5.7,NA,14.6,NA,6.8,36.5,"M",0.106,"1-B7",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56,"1-B3","N","Y",7,"Y","Y",0.05,6.4,"7.6",9.5,8.5,8.4,7.5,2.6,2.3,"",NA,"10/6/20",62.9,"10/11/20",23.1,0.6328,0.3672,NA,"10/24/20",4,0.5602,923.3249,26.2651,9.645847536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,"insufficient genotypes",0,481,146,365,2.84749333569359,2.84749333569358
"6","BC-6-2020","BC-20-6","BC-6-20","BC-20-6","2020-06-01","Early","Baird Canyon","7/8/20",60.73831,-144.5687,2.12,43.7,NA,4.1,NA,12.6,NA,6.3,31.6,"F",0.14,"1-B8",NA,NA,NA,NA,NA,NA,6,NA,NA,1.796,"1-B4","N","Y",6,"Y","Y",0.066,8.4,"9.3",13.5,8.2,12.9,7.8,3.9,3.2,"",NA,"10/6/20",57.6,"10/11/20",22.4,0.6111,0.3889,NA,"10/24/20",4,0.5232,923.3249,26.2745,10.21786111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,"KlutinaLake",0.95,437,126,316,0.454026959701378,0.45402695970137
"7","BC-7-2020","BC-20-7","BC-7-20","BC-20-7","2020-06-01","Early","Baird Canyon","7/8/20",60.73831,-144.5687,1.418,39.9,NA,3.8,NA,10.7,NA,5,28.1,"F",0.108,"1-B3",NA,NA,NA,NA,NA,NA,5.5,NA,NA,1.178,"1-A11","N","Y",7,"Y","Y",0.05,8,"12.5",8.4,10.5,5.9,8.7,1.9,1.4,"Eggs gooshy",NA,"10/6/20",65.3,"10/11/20",25.1,0.6156,0.3844,NA,"10/24/20",4,0.4224,923.3249,27.3985,10.53142956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,"KlutinaLake",0.99,399,107,281,-1.5485250076233,-1.5485250076233
"8","BC-8-2020","BC-20-8","BC-8-20","BC-20-8","2020-06-01","Early","Baird Canyon","7/8/20",60.73831,-144.5687,1.61,39.9,NA,3.6,NA,11.7,NA,5.6,30,"F",0.18,"1-B5",10,NA,NA,NA,NA,NA,5,NA,NA,1.272,"1-B1","NO READ","Y",7,"Y","Y",0.104,6.4,"5.1",2.8,2.4,1.4,4.2,0.8,1.3,"Caliper reading 1 egg 6.4 mm",NA,"10/6/20",66.4,"10/11/20",21.7,0.6732,0.3268,NA,"10/24/20",4,0.4588,923.3249,25.1628,8.22338494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,"KlutinaLake",0.99,399,117,300,-0.764444627871199,-0.764444627871206
"9","BC-9-2020","BC-20-9","BC-9-20","BC-20-9","2020-06-01","Early","Baird Canyon","7/8/20",60.73831,-144.5687,2.462,47.8,NA,4.6,NA,13.3,NA,6.4,33,"M",0.07,"1-B6",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.166,"1-B2","N","Y",6,"Y","Y",0.034,6,"6",4.8,7.7,3.2,3.1,1.4,2.6,"",NA,"10/6/20",60.4,"10/11/20",21.2,0.649,0.351,NA,"10/24/20",4,0.2702,923.3249,24.6192,8.641176159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,"KlutinaLake",0.96,478,133,330,1.59176113244367,1.59176113244366
"10","BC-10-2020","BC-20-10","BC-10-20","BC-20-10","2020-06-01","Early","Baird Canyon","7/8/20",60.73831,-144.5687,1.798,42.6,NA,3.7,NA,12.5,NA,6,30.4,"F",0.138,"1-C4",NA,NA,NA,NA,NA,NA,5.1,NA,NA,1.49,"1-B8","N","Y",5,"Y","Y",0.058,5.2,"5.1",4.1,4.9,2.4,3.3,2.6,1.1,"",NA,"10/6/20",50.6,"10/11/20",17.6,0.6522,0.3478,NA,"10/24/20",4,0.3856,923.3249,24.5659,8.54466087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,"KlutinaLake",1,426,125,304,0.0306377521779682,0.0306377521779607
