"","unique_id","site","fluidigm_num","c_b_cys","de_sal","fa_mar","fl_psy","ic_hof","ic_mul","ihnv","lo_sal","pa_kab","pa_min","pa_pse","sp_des","te_bry"
"47","2019-0046-118-MA8","MA","MA8",15.3642882053342,0,0,10.9659877888608,0,0,8.77152625301354,0,0,0,0,4.16904466077248,0
"48","2019-0046-118-MA9","MA","MA9",15.0469536469411,0,0,17.2081855940501,0,9.24043160623705,14.2190834282525,6.76871804361341,0,0,0,0,0
"49","2019-0046-118-MN1","MN","MN1",13.9039609083016,0,0,11.9292991753359,0,0,0,0,0,0,0,0,0
"50","2019-0046-118-MN10","MN","MN10",12.1259187312151,0,0,10.4554832771064,0,0,10.2535100391669,5.68788980217455,0,0,0,0,0
"51","2019-0046-118-MN2","MN","MN2",12.0289618071325,0,0,12.7536137319283,0,0,9.30854108652053,0,0,0,0,0,0
"52","2019-0046-118-MN3","MN","MN3",13.9586372601373,0,0,13.7395236748701,0,0,8.97426546402957,0,0,0,0,0,0
"53","2019-0046-118-MN5","MN","MN5",13.5537359889622,0,0,9.47744146838197,0,0,0,4.58993818350825,0,0,0,0,0
"54","2019-0046-118-MN6","MN","MN6",7.6504190926262,0,0,6.0103863225975,0,0,0,0,0,0,0,0,0
"55","2019-0046-118-MN7","MN","MN7",9.88148532858995,0,0,8.41506675758463,0,0,0,0,0,0,0,0,0
"56","2019-0046-118-MN9","MN","MN9",14.6306328781326,0,0,11.2777396485108,0,0,7.58276497125214,0,0,0,0,0,0
"65","2019-0046-118-SA1","SA","SA1",15.5432395115759,0,0,14.7569909328399,0,5.33230933166963,5.67058751121928,14.8449603796935,0,0,7.2370204771803,6.72950866555744,0
"66","2019-0046-118-SA10","SA","SA10",15.0868379645467,0,0,9.34501551064876,0,0,0,0,0,0,0,6.10567340945443,0
"67","2019-0046-118-SA2","SA","SA2",15.2781024276312,0,0,16.9381878728597,0,10.693114588336,15.935552354542,8.601978811646,0,4.98535687542167,3.69334627873218,9.56804696538156,0
"68","2019-0046-118-SA4","SA","SA4",14.1789691849081,0,0,15.1067896975254,0,5.58941893086782,10.6487572314864,4.7927968118195,0,0,0,8.73724633104369,0
"69","2019-0046-118-SA5","SA","SA5",14.3089054479214,0,0,10.3881774021824,0,4.6234855136847,9.74947553234518,0,0,0,0,8.35041021034663,0
"70","2019-0046-118-SA6","SA","SA6",16.0044240064635,0,0,11.3472130687223,0,0,0,14.449847312746,0,0,0,0,0
"71","2019-0046-118-SA7","SA","SA7",12.8760300322767,0,0,13.2695382799454,0,0,8.16851389038874,0,0,0,0,0,0
"72","2019-0046-118-SA8","SA","SA8",14.8199840117357,0,0,10.466277606013,0,0,6.88945588849315,4.93662386138502,0,0,0,6.44030358709263,0
"74","2019-0046-118-TNL10","TN","TNL10",13.8987756018699,0,0,9.05417477665273,0,0,0,15.2120477158284,0,0,0,0,0
"75","2019-0046-118-TNL2","TN","TNL2",13.1530083301533,0,0,0,0,0,0,8.70349710675044,0,0,0,0,0
"76","2019-0046-118-TNL3","TN","TNL3",15.0016544397028,3.38665058959448,0,7.66129039735107,0,0,0,0,0,0,6.4927039533615,0,5.70601396569374
"77","2019-0046-118-TNL5","TN","TNL5",13.0630126000909,0,0,6.92987213422906,0,0,0,13.9147395165878,0,3.25755144448499,0,0,0
"78","2019-0046-118-TNL6","TN","TNL6",13.7146232123029,2.29393946865705,0,7.09029672493203,0,0,0,13.8364748230431,0,0,0,0,6.28820262810117
"79","2019-0046-118-TNL7","TN","TNL7",14.2655826982115,0,0,7.42919627261184,0,0,8.09259664116474,0,0,0,0,0,0
"80","2019-0046-118-TNL9","TN","TNL9",14.1659893193506,0,0.523502107068693,9.60230806441738,0,0,4.06341893807827,5.3061664561908,0,0,0,5.58509328331474,0
