"","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","Processing_Date","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2.1","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments"
"61","MN-1-2020","MN-20-1","MN-1-20","MN-20-1","7/30/2020","9/23/2020",62.94958,-143.35984,"MN",1.896,45.4,NA,7,NA,13.3,NA,5.5,31.5,"M","0.05","2-A6 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,"2-A6 (1 OTO","N","Y (bad scales)","","Y","Y",0.028,0.5,"0.3",0.2,0.3,0.3,0.3,0.4,0.5,"","1/10/2021",104.1,"1/14/2021",19.7,0.8108,0.1892,NA,"2/8/2021",4,0.4666,923.3249,20.1929,3.821326897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"62","MN-2-2020","MN-20-2","MN-2-20","MN-20-2","7/30/2020","9/24/2020",62.94958,-143.35984,"MN",2.024,45.6,NA,6.7,NA,14,NA,4.3,32,"M","0.036","2-C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.848,"2-B7 (1 OTO)","N","","","Y","Y",0.02,0.4,"0.4",0.4,0.5,0.6,0.5,0.6,0.5,"","1/10/2021",81.3,"1/14/2021",15.6,0.8081,0.1919,NA,"2/8/2021",2,0.3468,955.4635,19.8806,3.814727675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"63","MN-3-2020","MN-20-3","MN-3-20","MN-20-3","7/30/2020","9/26/2020",62.94958,-143.35984,"MN",1.04,38.8,NA,4.4,NA,11,NA,2.9,NA,"M","0.03","Fin well ID 41",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946,"2-D5 (1 OTO)","N","Y","5","Y","Y",0.016,0.3,"0.4",0.4,0.3,0.4,0.5,0.4,0.5,"","1/10/2021",103.6,"1/14/2021",18.3,0.8234,0.1766,NA,"2/8/2021",4,0.4429,923.3249,19.3462,3.417330695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"64","MN-4-2020","MN-20-4","MN-4-20","MN-20-4","7/30/2020","9/28/2020",62.94958,-143.35984,"MN",1.642,49.9,NA,7.4,NA,12.5,NA,4.4,30.6,"M","0.038","Fin well ID 17(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.492,"2-F5","N","Y","3","Y","Y",0.016,0.3,"0.3",0.3,0.5,0.3,0.3,0.4,0.5,"","1/10/2021",79.3,"1/14/2021",14.6,0.8159,0.1841,NA,"2/8/2021",2,0.5085,955.4635,20.8907,3.846207062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"65","MN-5-2020","MN-20-5","MN-5-20","MN-20-5","7/30/2020","9/28/2020",62.94958,-143.35984,"MN",1.724,46,NA,6.7,NA,12.3,NA,4.1,28.2,"M","0.018","Fin well: 13(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.592,"2-F1","N","Y","4","Y","Y",0.01,0.6,"0.3",1.3,0.4,3.5,0.2,1.2,0.3,"","1/10/2021",89.5,"1/14/2021",17.2,0.8078,0.1922,NA,"2/8/2021",4,0.3452,923.3249,18.1366,3.485469497,2,0.3865,955.4635,20.0588,3.854875531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"66","MN-6-2020","MN-20-6","MN-6-20","MN-20-6","7/30/2020","9/29/2020",62.94958,-143.35984,"MN",1.554,43.4,NA,3.6,NA,10.3,NA,4.6,26.6,"F","0.304","Fin well: 21(2)",10,0.8135,NA,NA,NA,NA,5.3,NA,NA,1.162,"2-F9","N","Y","5","Y","Y",0.18,0.4,"0.7",0.5,0.5,0.4,0.7,0.8,0.8,"","1/10/2021",89.5,"1/14/2021",19.3,0.7844,0.2156,NA,"2/8/2021",4,0.4095,923.3249,20.6751,4.458429385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"67","MN-7-2020","MN-20-7","MN-7-20","MN-20-7","7/30/2020","9/29/2020",62.94958,-143.35984,"MN",1.62,44.3,NA,5.1,NA,10.6,NA,4.1,26,"F","N/A","Fin well: 19, partial spawn",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.726,"2-F7 (1 OTO)","N","Y","5","Y","N",NA,0.7,"0.6",0.4,0.3,0.4,0.4,1.1,0.4,"partial spawn","1/10/2021",82.1,"1/14/2021",16.9,0.7942,0.2058,NA,"2/8/2021",2,0.3743,955.4635,21.4776,4.421089403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"68","MN-8-2020","MN-20-8","MN-8-20","MN-20-8","7/30/2020","9/28/2020",62.94958,-143.35984,"MN",1.294,44.3,NA,4.4,NA,10.5,NA,3.3,25.1,"F","none","Fin well ID: 12(2). Post-spawn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,"2-E12 ","N","Y","5","Y","N",NA,0.3,"0.4",0.3,0.3,0.7,0.4,0.4,0.4,"Post-spawn.","1/10/2021",82.1,"1/14/2021",16.1,0.8039,0.1961,NA,"2/8/2021",4,0.4305,923.3249,18.817,3.690057247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"69","MN-9-2020","MN-20-9","MN-9-20","MN-20-9","7/30/2020","9/29/2020",62.94958,-143.35984,"MN",1.266,42.5,NA,4.4,NA,9.6,NA,3.8,23.2,"F","N/A","Fin well ID: 22(2). Post-spawn, no eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.174,"2-F10","N","Y","5","Y","N",NA,0.3,"0.5",0.3,0.4,0.7,0.6,0.8,0.4,"Post-spawn, no eggs","1/10/2021",66.2,"1/14/2021",13,0.8036,0.1964,NA,"2/8/2021",2,0.3608,955.4635,19.476,3.824592145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"70","FC-1-2020","FC-20-1","FC-1-20","FC-20-1","7/31/2020","9/28/2020",63.09558659,-145.452777,"FC",1.232,42.8,NA,4,NA,10.1,NA,3.6,24.1,"F","0.212","Fin well ID: 16 (2)",10,0.7315,NA,NA,NA,NA,4.7,NA,NA,0.966,"2-F4","N","Y","7","Y","Y",0.118,0.4,"0.5",0.3,0.4,0.7,0.4,1.2,0.4,"","1/10/2021",93.9,"1/14/2021",20.2,0.7849,0.2151,NA,"2/10/2021",2,0.4471,955.4635,20.079,4.319444089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
