"","Fish_ID_Revised","Collection_Date","Processing_Date","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Arena1","arena2","ascv","c_b_cys","ce_sha","cov","ctv","de_sal","fa_mar","fl_psy","ic_hof","ic_mul","ihnv","lo_sal","my_arc","my_ins","na_sal","ne_per","pa_kab","pa_min","pa_pse","pa_ther","pisck_sal","prv","pspv","reov","rlo","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","vhsv","vi_ang","vi_sal","path_richness","sc_bodymass","totalE","PC1_scores"
"11","GH-3-2019","7/27/2019","8/7/2019",63.06732669,-145.5138318,"GH",2.19,47.2,47.4,7.1,7.5,12.5,12.6,6.9,30.4,"M",0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.064,0.022,0.7,0.7,0.8,0.6,1,0.5,0.5,0.6,"11/3/2019",106,"11/10/2019",24.6,0.7679,0.2321,"11/26/2019",2,0.2278,923.1981,20.7418,4.813663019,0,0,0,180563.1278,0,0,0,0,0,11223.17956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25985.28482,0,0,0,0,0,0,3,-0.030397810671371,45.424542,0.742190690310052
"12","GH-4-2019","7/27/2019","8/8/2019",63.06732669,-145.5138318,"GH",2.11,44.7,46,6.5,6.9,13.4,13.8,7.1,30.9,"M",0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99,0.008,0.7,0.7,0.6,0.7,0.6,0.8,0.8,0.8,"11/3/2019",201.8,"11/10/2019",48,0.7621,0.2379,"11/26/2019",4,0.2998,923.3249,22.0355,5.241347869,0,0,0,1004868.686,0,0,0,0,0,3720.209758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119785.6363,0,0,0,0,0,0,3,0.251890368113357,46.494905,1.88328341314681
"13","GH-7-2019","7/27/2019","8/7/2019",63.06732669,-145.5138318,"GH",1.184,39.8,40,3.5,3.9,8.8,9.7,5.3,24,"F",0.188,68,6.2316,82,9.5306,47,5.5035,4.7,4.2,4.5,0.948,0.1,0.7,1.1,1.3,0.8,1.3,0.7,1,0.7,"11/3/2019",157.8,"11/10/2019",37.7,0.7611,0.2389,"11/26/2019",2,0.304,923.1981,19.3525,4.62350602,0,0,0,89859.07354,0,0,0,0,0,663.6528493,0,0,37.96462753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0359751985314247,22.91336,2.82195256673444
"14","GH-8-2019","7/27/2029","8/7/2019",63.06732669,-145.5138318,"GH",1.444,41.6,42.1,3.3,3.8,6.4,10.2,5.6,25.2,"F",0.236,61,7.1919,75,9.5798,48,4.18,4.8,4.6,4.3,1.148,0.138,0.7,0.6,0.8,0.7,0.6,0.7,0.6,0.6,"11/3/2019",193.6,"11/10/2019",43.1,0.7774,0.2226,"11/26/2019",4,0.3865,923.3249,19.4505,4.330147469,0,0,0,3613956.111,0,0,0,0,0,49594.00446,0,0,0,156460.4559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8132.343603,0,0,0,0,0,0,4,0.0351277098064199,28.086522,1.45065753360188
"15","GH-9-2019","7/27/2019","8/7/2019",63.06732669,-145.5138318,"GH",2.078,46.2,46.7,4.6,5.2,12.2,11.7,6.9,30.1,"F",0.44,50,6.4796,85,10.2085,93,10.5876,5.1,5.3,5.1,1.59,0.18,1,1.1,1,1.1,0.8,1.4,0.7,1.1,"11/3/2019",132,"11/10/2019",35.2,0.7333,0.2667,"11/26/2019",2,0.3096,923.1981,22.9675,6.124666667,0,0,0,657796.0703,0,0,0,0,0,6374.894851,0,0,0,4231043.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54610.31604,0,0,0,0,0,0,4,0.00251746084252004,47.726465,1.63853135338745
"16","GH-10-2019","7/27/2019","8/7/2019",63.06732669,-145.5138318,"GH",1.334,40.2,41.6,3.4,4,9,10.2,5.5,24.1,"F",0.198,64,3.9213,89,5.3753,60,3.7846,4.4,4.3,4.1,1.08,0.116,1,1.1,0.9,1,0.8,1,1,1.2,"11/3/2019",95.2,"11/10/2019",25.7,0.73,0.27,"11/26/2019",4,0.3218,923.3249,22.2529,6.007348004,0,0,0,537645.5411,0,0,0,0,0,1409.046446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78946.66224,0,0,0,0,0,0,3,0.128009089925868,29.6853686,2.17202666258077
"17","GH-11-2019","8/17/2019","9/1/2019",63.06732669,-145.5138318,"GH",2.204,45.7,47.1,7.7,8.2,14.1,15.1,5.8,33.1,"M",0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03,0.034,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,"11/10/2019",205.7,"11/25/2019",41.8,0.7968,0.2032,"12/1/2019",2,0.3075,923.1981,21.7378,4.417306952,0,0,0,1081400.749,0,0,0,16.80916846,0,69160.88962,0,92.29906126,16.01319519,1613959.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.200975096599466,47.9101112,-0.183241852147917
"18","GH-12-2019","8/17/2019","9/3/2019",63.06732669,-145.5138318,"GH",1.794,47.6,48.5,6.1,6.8,12.7,12.9,5.7,28.2,"M",0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.574,0.018,0.5,0.4,0.4,0.4,0.5,0.6,0.5,0.4,"11/10/2019",212.5,"11/25/2019",37,0.8259,0.1741,"12/1/2019",4,0.3263,923.3249,17.7668,3.093513412,0,0,0,1888923.657,0,0,0,0,0,873304.5819,0,51.87569454,766.1371179,0,0,0,0,0,0,6.176247598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.484363919276927,31.8736392,-0.526723214351575
"19","GH-14-2019","8/18/2019","9/1/2019",63.06732669,-145.5138318,"GH",1.248,43.6,44.5,5.7,6.3,11,11.4,4.4,24,"M",0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.158,0.014,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.5,"11/10/2019",164.3,"11/25/2019",30.7,0.8131,0.1869,"12/1/2019",4,0.3501,923.3249,17.6081,3.290131893,0,0,0,2218996.181,0,0,0,0,0,1701291.84,0,140.2464604,490.4981131,50905.56153,0,0,0,0,0,0,169491.3995,0,0,0,0,0,0,0,0,0,2528.145322,0,0,0,0,0,0,7,-0.450702833221362,21.9749088,-0.89052536602982
"20","GH-15-2019","8/17/2019","9/3/2019",63.06732669,-145.5138318,"GH",2.27,49.6,49.3,7.6,8.1,13.8,13.2,5.5,31.1,"M",0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.154,0.018,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.4,"11/10/2019",157.8,"11/25/2019",29.3,0.8143,0.1857,"12/1/2019",2,0.3351,923.1981,18.783,3.487591255,0,0,0,5213162.994,0,0,0,0,0,174226.6237,0,0,17745.68973,6757282.834,0,0,0,0,0,0,342.7624345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.29819446230471,42.63741,-1.03054830811517
