"","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","Processing_Date","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2.1","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments"
"80","MA-12-2021","MA-12-2021","MA-12-21","MA-12","8/10/21 (MA)","9/5/2021",61.73588,-145.72941806,"MA",0.932,40.2,NA,3.2,NA,9.5,NA,4.3,22.4,"F","","4-D4",8,0.4546,NA,NA,NA,NA,4.6,NA,NA,0.856,"2-G4","N","Y",5,"Y","N",NA,0.4,0.4,0.4,0.4,0.4,0.5,0.8,0.5,"Partial Spawned","10/6/2021",73,"10/11/2021",13.3,"0.8178","0.1822",NA,"10/12/2021",4,0.236,955.8343,20.4226,"3.720829863",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","MA-13-2021","MA-13-2021","MA-13-21","MA-13","8/10/2021 (MA)","9/4/2021",61.73588,-145.72941806,"MA",0.712,36,NA,3.1,NA,9.2,NA,4.1,20.8,"F","","4-A1",10,0.5562,NA,NA,NA,NA,3.7,NA,NA,0.606,"2-E1","N","Y",6,"Y","N",NA,0.4,0.4,0.3,0.4,0.4,0.4,0.8,0.4,"","10/6/2021",59.3,"10/11/2021",13,"0.7808","0.2192",NA,"10/12/2021",2,0.2429,923.3249,17.2273,"3.776642496",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","MA-14-2021","MA-14-2021","MA-14-21","MA-14","8/10/2021 (MA)","9/5/2021",61.73588,-145.72941806,"MA",0.906,39.5,NA,3.8,NA,9.8,NA,4.3,22,"F","","4-C4",8,0.6293,NA,NA,NA,NA,3.8,NA,NA,0.848,"2-F8","N","Y",5,"Y","N",NA,0.4,0.4,0.4,0.5,0.4,0.4,0.6,0.6,"Spawned out","10/6/2021",104.3,"10/11/2021",18.2,"0.8255","0.1745",NA,"10/12/2021",4,0.2355,955.8343,19.0294,"3.320566443",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","MA-15-2021","MA-15-2021","MA-15-21","MA-15","8/10/2021 (MA)","9/4/2021",61.73588,-145.72941806,"MA",0.854,37.8,NA,3.4,NA,9.1,NA,4,21.6,"F","","4-A5",5,0.4766,NA,NA,NA,NA,4.55,NA,NA,0.796,"2-E5","N","Y",5,"Y","N",NA,0.4,0.5,0.8,0.4,0.9,0.6,0.4,0.5,"","10/7/2021",47.2,"10/10/2021",10.5,"0.7775","0.2225",NA,"10/12/2021",2,0.1814,923.3249,16.9026,"3.760112288",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","MA-16-2021","MA-16-2021","MA-16-21","MA-16","8/10/2021 (MA)","9/5/2021",61.73588,-145.72941806,"MA",0.992,40.1,NA,4.6,NA,10,NA,4.2,23.1,"F","","4-D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.936,"2-G3","N","Y",5,"Y","N",NA,0.4,0.8,0.4,0.4,0.5,0.5,1,0.5,"spawned out","10/7/2021",72.7,"10/10/2021",14.3,"0.8033","0.1967",NA,"10/12/2021",4,0.2551,955.8343,19.8412,"3.902739477",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","MA-17-2021","MA-17-2021","MA-17-21","MA-17","8/10/2021 (MA)","9/3/2021",61.73588,-145.72941806,"MA",0.872,34,NA,5.4,NA,12,NA,4.3,25.7,"M","0.026","3-C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816,"2-B6","N","Y",5,"Y","Y",0.014,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4,"","10/7/2021",103.4,"10/10/2021",19.9,"0.8075","0.1925",NA,"10/12/2021",2,0.3161,923.3249,20.9833,"4.03837205",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","MA-18-2021","MA-18-2021","MA-18-21","MA-18","8/10/2021 (MA)","9/3/2021",61.73588,-145.72941806,"MA",2.354,47,NA,9.1,NA,15.7,NA,6.5,35.5,"M","0.048","3-E6",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.226,"2-D2","N","Y",5,"Y","Y",0.024,0.4,0.3,0.3,0.3,0.5,0.7,0.4,0.5,"","10/7/2021",96.4,"10/10/2021",17.6,"0.8174","0.1826",NA,"10/12/2021",4,0.3012,955.8343,19.8509,"3.624230705",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","MA-19-2021","MA-19-2021","MA-19-21","MA-19","8/10/2021 (MA)","9/3/2021",61.73588,-145.72941806,"MA",1.226,39,NA,5.8,NA,12.2,NA,5.1,27.5,"M","0.04","3-C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.136,"2-B5","N","Y",5,"Y","Y",0.022,0.8,0.5,0.7,0.6,0.6,0.5,0.6,0.4,"","10/7/2021",113.6,"10/10/2021",23.9,"0.7896","0.2104",NA,"10/12/2021",4,0.4298,923.3249,19.7383,"4.152688116",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","MA-20-2021","MA-20-2021","MA-20-21","MA-20","8/10/2021 (MA)","9/3/2021",61.73588,-145.72941806,"MA",0.456,28,NA,3,NA,8.5,NA,3.8,19.6,"M","0.024","3-C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416,"2-B7","N","Y",5,"Y","Y",0.012,1,0.7,1.1,0.6,1.6,0.5,1.7,0.8,"","10/7/2021",80.2,"10/10/2021",16.6,"0.7930","0.2070",NA,"10/12/2021",2,0.3338,955.8343,21.2459,"4.397530424",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","SA-1-2021","SA-1-2021","SA-1-21","SA-1","7/18/2021 (SA)","7/24/2021",61.73953006,-145.96851937,"SA",2.122,46.2,NA,4.4,NA,13.6,NA,6.9,31.7,"F","0.408","2-F8",10,0.8256,NA,NA,NA,NA,6.2,NA,NA,1.624,"1-H12","N","Y",5,"Y","Y",0.2,0.5,0.9,0.5,0.5,0.6,0.7,0.7,0.9,"","10/6/2021",72.7,"10/11/2021",17.1,"0.7648","0.2352",NA,"10/12/2021",4,0.3008,923.3249,23.5817,"5.546727235",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
