"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",7.749792389437,7.16940535829309,8.33017942058091,0.294618384012661,1
"Gonad_Wt_g",0.000219032656156512,-0.000265102082748949,0.000703167395061972,0.000245653807491278,0.971629
"Collection_LocationGulkana Hatchery",0.803811178230713,-0.00169232011110076,1.60931467657253,0.408970739515216,0.96442
"Collection_LocationLong Lake",-0.244040235847867,-0.943647976844698,0.455567505148964,0.354952962639959,0.96442
"Collection_LocationMahlo",0.508900027570566,-0.227966645505634,1.24576670064677,0.373965965055904,0.96442
"Collection_LocationMentasta",0.874378432135,0.0835798976941986,1.6651769665758,0.401578997338075,0.96442
"Collection_LocationSt Anne",0.855828650821372,0.0675947172702527,1.64406258437249,0.400262394123067,0.96442
"Collection_LocationTanada",0.306464516458471,-0.540375003331965,1.15330403624891,0.42965583650683,0.96442
"SexM",-0.0650405571407392,-0.359143570904881,0.229062456623403,0.149511232013278,0.340892
